COUNT,POPULATION,SEX,SITE,YEAR
228,41889233,Male,"Glioma malignant, NOS",2004
223,42006384,Male,"Glioma malignant, NOS",2005
244,42158997,Male,"Glioma malignant, NOS",2006
244,42367071,Male,"Glioma malignant, NOS",2007
273,42541971,Male,"Glioma malignant, NOS",2008
272,42609915,Male,"Glioma malignant, NOS",2009
283,42549101,Male,"Glioma malignant, NOS",2010
279,42367731,Male,"Glioma malignant, NOS",2011
18,42177631,Male,"Glioma malignant, NOS",2012
279,42177631,Male,"Glioma malignant, NOS",2012
17,42037054,Male,"Glioma malignant, NOS",2013
271,42037054,Male,"Glioma malignant, NOS",2013
20,41956389,Male,"Glioma malignant, NOS",2014
262,41956389,Male,"Glioma malignant, NOS",2014
22,41936220,Male,"Glioma malignant, NOS",2015
303,41936220,Male,"Glioma malignant, NOS",2015
29,41945689,Male,"Glioma malignant, NOS",2016
289,41945689,Male,"Glioma malignant, NOS",2016
20,41924375,Male,"Glioma malignant, NOS",2017
302,41924375,Male,"Glioma malignant, NOS",2017
17,41889233,Male,Hemangioblastoma,2004
16,42158997,Male,Hemangioblastoma,2006
20,42367071,Male,Hemangioblastoma,2007
24,42367731,Male,Hemangioblastoma,2011
21,42177631,Male,Hemangioblastoma,2012
17,42037054,Male,Hemangioblastoma,2013
20,41956389,Male,Hemangioblastoma,2014
16,41936220,Male,Hemangioblastoma,2015
18,41945689,Male,Hemangioblastoma,2016
21,41924375,Male,Hemangioblastoma,2017
30,41889233,Male,Hemangioma,2004
19,42006384,Male,Hemangioma,2005
36,42158997,Male,Hemangioma,2006
52,42367071,Male,Hemangioma,2007
44,42541971,Male,Hemangioma,2008
60,42609915,Male,Hemangioma,2009
53,42549101,Male,Hemangioma,2010
67,42367731,Male,Hemangioma,2011
65,42177631,Male,Hemangioma,2012
57,42037054,Male,Hemangioma,2013
58,41956389,Male,Hemangioma,2014
53,41936220,Male,Hemangioma,2015
81,41945689,Male,Hemangioma,2016
55,41924375,Male,Hemangioma,2017
45,41889233,Male,Meningioma,2004
53,42006384,Male,Meningioma,2005
50,42158997,Male,Meningioma,2006
53,42367071,Male,Meningioma,2007
55,42541971,Male,Meningioma,2008
61,42609915,Male,Meningioma,2009
53,42549101,Male,Meningioma,2010
66,42367731,Male,Meningioma,2011
63,42177631,Male,Meningioma,2012
54,42037054,Male,Meningioma,2013
61,41956389,Male,Meningioma,2014
71,41936220,Male,Meningioma,2015
42,41945689,Male,Meningioma,2016
59,41924375,Male,Meningioma,2017
16,42367071,Male,Mixed glioma,2007
18,42549101,Male,Mixed glioma,2010
31,41889233,Male,"Neoplasm, unspecified",2004
16,41889233,Male,"Neoplasm, unspecified",2004
57,42006384,Male,"Neoplasm, unspecified",2005
19,42006384,Male,"Neoplasm, unspecified",2005
53,42158997,Male,"Neoplasm, unspecified",2006
24,42158997,Male,"Neoplasm, unspecified",2006
64,42367071,Male,"Neoplasm, unspecified",2007
22,42367071,Male,"Neoplasm, unspecified",2007
48,42541971,Male,"Neoplasm, unspecified",2008
18,42541971,Male,"Neoplasm, unspecified",2008
87,42609915,Male,"Neoplasm, unspecified",2009
23,42609915,Male,"Neoplasm, unspecified",2009
79,42549101,Male,"Neoplasm, unspecified",2010
17,42549101,Male,"Neoplasm, unspecified",2010
70,42367731,Male,"Neoplasm, unspecified",2011
59,42177631,Male,"Neoplasm, unspecified",2012
29,42177631,Male,"Neoplasm, unspecified",2012
67,42037054,Male,"Neoplasm, unspecified",2013
17,42037054,Male,"Neoplasm, unspecified",2013
70,41956389,Male,"Neoplasm, unspecified",2014
25,41956389,Male,"Neoplasm, unspecified",2014
59,41936220,Male,"Neoplasm, unspecified",2015
20,41936220,Male,"Neoplasm, unspecified",2015
67,41945689,Male,"Neoplasm, unspecified",2016
22,41945689,Male,"Neoplasm, unspecified",2016
65,41924375,Male,"Neoplasm, unspecified",2017
29,41924375,Male,"Neoplasm, unspecified",2017
127,41889233,Male,"Nerve sheath, benign and malignant",2004
124,42006384,Male,"Nerve sheath, benign and malignant",2005
172,42158997,Male,"Nerve sheath, benign and malignant",2006
162,42367071,Male,"Nerve sheath, benign and malignant",2007
148,42541971,Male,"Nerve sheath, benign and malignant",2008
156,42609915,Male,"Nerve sheath, benign and malignant",2009
140,42549101,Male,"Nerve sheath, benign and malignant",2010
148,42367731,Male,"Nerve sheath, benign and malignant",2011
155,42177631,Male,"Nerve sheath, benign and malignant",2012
154,42037054,Male,"Nerve sheath, benign and malignant",2013
146,41956389,Male,"Nerve sheath, benign and malignant",2014
148,41936220,Male,"Nerve sheath, benign and malignant",2015
171,41945689,Male,"Nerve sheath, benign and malignant",2016
103,41924375,Male,"Nerve sheath, benign and malignant",2017
150,41889233,Male,"Neuronal/glial, neuronal",2004
29,41889233,Male,"Neuronal/glial, neuronal",2004
159,42006384,Male,"Neuronal/glial, neuronal",2005
30,42006384,Male,"Neuronal/glial, neuronal",2005
158,42158997,Male,"Neuronal/glial, neuronal",2006
28,42158997,Male,"Neuronal/glial, neuronal",2006
174,42367071,Male,"Neuronal/glial, neuronal",2007
30,42367071,Male,"Neuronal/glial, neuronal",2007
177,42541971,Male,"Neuronal/glial, neuronal",2008
28,42541971,Male,"Neuronal/glial, neuronal",2008
160,42609915,Male,"Neuronal/glial, neuronal",2009
18,42609915,Male,"Neuronal/glial, neuronal",2009
173,42549101,Male,"Neuronal/glial, neuronal",2010
188,42367731,Male,"Neuronal/glial, neuronal",2011
20,42367731,Male,"Neuronal/glial, neuronal",2011
207,42177631,Male,"Neuronal/glial, neuronal",2012
19,42177631,Male,"Neuronal/glial, neuronal",2012
191,42037054,Male,"Neuronal/glial, neuronal",2013
23,42037054,Male,"Neuronal/glial, neuronal",2013
171,41956389,Male,"Neuronal/glial, neuronal",2014
31,41956389,Male,"Neuronal/glial, neuronal",2014
213,41936220,Male,"Neuronal/glial, neuronal",2015
25,41936220,Male,"Neuronal/glial, neuronal",2015
226,41945689,Male,"Neuronal/glial, neuronal",2016
25,41945689,Male,"Neuronal/glial, neuronal",2016
220,41924375,Male,"Neuronal/glial, neuronal",2017
16,41924375,Male,"Neuronal/glial, neuronal",2017
38,41889233,Male,Oligodendroglioma,2004
29,42006384,Male,Oligodendroglioma,2005
27,42158997,Male,Oligodendroglioma,2006
23,42367071,Male,Oligodendroglioma,2007
32,42541971,Male,Oligodendroglioma,2008
26,42609915,Male,Oligodendroglioma,2009
21,42549101,Male,Oligodendroglioma,2010
17,42367731,Male,Oligodendroglioma,2011
26,42177631,Male,Oligodendroglioma,2012
19,42037054,Male,Oligodendroglioma,2013
18,41956389,Male,Oligodendroglioma,2014
18,41936220,Male,Oligodendroglioma,2015
17,41945689,Male,Oligodendroglioma,2016
22,42006384,Male,Other mesenchymal,2005
17,42158997,Male,Other mesenchymal,2006
20,42541971,Male,Other mesenchymal,2008
20,42609915,Male,Other mesenchymal,2009
26,42549101,Male,Other mesenchymal,2010
34,42367731,Male,Other mesenchymal,2011
45,42177631,Male,Other mesenchymal,2012
34,42037054,Male,Other mesenchymal,2013
33,41956389,Male,Other mesenchymal,2014
35,41936220,Male,Other mesenchymal,2015
48,41945689,Male,Other mesenchymal,2016
45,41924375,Male,Other mesenchymal,2017
372,41889233,Male,Pilocytic astrocytoma,2004
352,42006384,Male,Pilocytic astrocytoma,2005
359,42158997,Male,Pilocytic astrocytoma,2006
348,42367071,Male,Pilocytic astrocytoma,2007
394,42541971,Male,Pilocytic astrocytoma,2008
366,42609915,Male,Pilocytic astrocytoma,2009
377,42549101,Male,Pilocytic astrocytoma,2010
397,42367731,Male,Pilocytic astrocytoma,2011
422,42177631,Male,Pilocytic astrocytoma,2012
431,42037054,Male,Pilocytic astrocytoma,2013
378,41956389,Male,Pilocytic astrocytoma,2014
378,41936220,Male,Pilocytic astrocytoma,2015
372,41945689,Male,Pilocytic astrocytoma,2016
423,41924375,Male,Pilocytic astrocytoma,2017
19,41889233,Male,Pineal parenchymal,2004
17,42367071,Male,Pineal parenchymal,2007
16,42541971,Male,Pineal parenchymal,2008
20,42367731,Male,Pineal parenchymal,2011
20,42177631,Male,Pineal parenchymal,2012
23,41956389,Male,Pineal parenchymal,2014
19,41936220,Male,Pineal parenchymal,2015
25,41945689,Male,Pineal parenchymal,2016
85,41889233,Male,Pituitary,2004
121,42006384,Male,Pituitary,2005
95,42158997,Male,Pituitary,2006
115,42367071,Male,Pituitary,2007
132,42541971,Male,Pituitary,2008
157,42609915,Male,Pituitary,2009
139,42549101,Male,Pituitary,2010
148,42367731,Male,Pituitary,2011
173,42177631,Male,Pituitary,2012
172,42037054,Male,Pituitary,2013
194,41956389,Male,Pituitary,2014
161,41936220,Male,Pituitary,2015
187,41945689,Male,Pituitary,2016
205,41924375,Male,Pituitary,2017
127,41889233,Male,Tumors of Cranial and Spinal Nerves,2004
124,42006384,Male,Tumors of Cranial and Spinal Nerves,2005
172,42158997,Male,Tumors of Cranial and Spinal Nerves,2006
162,42367071,Male,Tumors of Cranial and Spinal Nerves,2007
148,42541971,Male,Tumors of Cranial and Spinal Nerves,2008
156,42609915,Male,Tumors of Cranial and Spinal Nerves,2009
140,42549101,Male,Tumors of Cranial and Spinal Nerves,2010
148,42367731,Male,Tumors of Cranial and Spinal Nerves,2011
155,42177631,Male,Tumors of Cranial and Spinal Nerves,2012
155,42037054,Male,Tumors of Cranial and Spinal Nerves,2013
148,41956389,Male,Tumors of Cranial and Spinal Nerves,2014
148,41936220,Male,Tumors of Cranial and Spinal Nerves,2015
171,41945689,Male,Tumors of Cranial and Spinal Nerves,2016
103,41924375,Male,Tumors of Cranial and Spinal Nerves,2017
232,41889233,Male,Tumors of Neuroepthelial Tissue,2004
1364,41889233,Male,Tumors of Neuroepthelial Tissue,2004
262,42006384,Male,Tumors of Neuroepthelial Tissue,2005
1297,42006384,Male,Tumors of Neuroepthelial Tissue,2005
260,42158997,Male,Tumors of Neuroepthelial Tissue,2006
1362,42158997,Male,Tumors of Neuroepthelial Tissue,2006
269,42367071,Male,Tumors of Neuroepthelial Tissue,2007
1375,42367071,Male,Tumors of Neuroepthelial Tissue,2007
279,42541971,Male,Tumors of Neuroepthelial Tissue,2008
1442,42541971,Male,Tumors of Neuroepthelial Tissue,2008
273,42609915,Male,Tumors of Neuroepthelial Tissue,2009
1411,42609915,Male,Tumors of Neuroepthelial Tissue,2009
284,42549101,Male,Tumors of Neuroepthelial Tissue,2010
1447,42549101,Male,Tumors of Neuroepthelial Tissue,2010
303,42367731,Male,Tumors of Neuroepthelial Tissue,2011
1454,42367731,Male,Tumors of Neuroepthelial Tissue,2011
322,42177631,Male,Tumors of Neuroepthelial Tissue,2012
1445,42177631,Male,Tumors of Neuroepthelial Tissue,2012
305,42037054,Male,Tumors of Neuroepthelial Tissue,2013
1432,42037054,Male,Tumors of Neuroepthelial Tissue,2013
282,41956389,Male,Tumors of Neuroepthelial Tissue,2014
1410,41956389,Male,Tumors of Neuroepthelial Tissue,2014
317,41936220,Male,Tumors of Neuroepthelial Tissue,2015
1438,41936220,Male,Tumors of Neuroepthelial Tissue,2015
352,41945689,Male,Tumors of Neuroepthelial Tissue,2016
1379,41945689,Male,Tumors of Neuroepthelial Tissue,2016
321,41924375,Male,Tumors of Neuroepthelial Tissue,2017
1415,41924375,Male,Tumors of Neuroepthelial Tissue,2017
170,41889233,Male,Tumors of Sellar Region,2004
215,42006384,Male,Tumors of Sellar Region,2005
176,42158997,Male,Tumors of Sellar Region,2006
201,42367071,Male,Tumors of Sellar Region,2007
228,42541971,Male,Tumors of Sellar Region,2008
237,42609915,Male,Tumors of Sellar Region,2009
222,42549101,Male,Tumors of Sellar Region,2010
219,42367731,Male,Tumors of Sellar Region,2011
252,42177631,Male,Tumors of Sellar Region,2012
264,42037054,Male,Tumors of Sellar Region,2013
299,41956389,Male,Tumors of Sellar Region,2014
255,41936220,Male,Tumors of Sellar Region,2015
261,41945689,Male,Tumors of Sellar Region,2016
299,41924375,Male,Tumors of Sellar Region,2017
76,41889233,Male,Tumors of the Meninges,2004
85,42006384,Male,Tumors of the Meninges,2005
83,42158997,Male,Tumors of the Meninges,2006
83,42367071,Male,Tumors of the Meninges,2007
88,42541971,Male,Tumors of the Meninges,2008
96,42609915,Male,Tumors of the Meninges,2009
92,42549101,Male,Tumors of the Meninges,2010
124,42367731,Male,Tumors of the Meninges,2011
129,42177631,Male,Tumors of the Meninges,2012
105,42037054,Male,Tumors of the Meninges,2013
114,41956389,Male,Tumors of the Meninges,2014
122,41936220,Male,Tumors of the Meninges,2015
108,41945689,Male,Tumors of the Meninges,2016
125,41924375,Male,Tumors of the Meninges,2017
61,41889233,Male,Unclassified Tumors,2004
16,41889233,Male,Unclassified Tumors,2004
76,42006384,Male,Unclassified Tumors,2005
19,42006384,Male,Unclassified Tumors,2005
89,42158997,Male,Unclassified Tumors,2006
24,42158997,Male,Unclassified Tumors,2006
116,42367071,Male,Unclassified Tumors,2007
26,42367071,Male,Unclassified Tumors,2007
92,42541971,Male,Unclassified Tumors,2008
21,42541971,Male,Unclassified Tumors,2008
147,42609915,Male,Unclassified Tumors,2009
23,42609915,Male,Unclassified Tumors,2009
133,42549101,Male,Unclassified Tumors,2010
18,42549101,Male,Unclassified Tumors,2010
137,42367731,Male,Unclassified Tumors,2011
16,42367731,Male,Unclassified Tumors,2011
124,42177631,Male,Unclassified Tumors,2012
32,42177631,Male,Unclassified Tumors,2012
124,42037054,Male,Unclassified Tumors,2013
19,42037054,Male,Unclassified Tumors,2013
128,41956389,Male,Unclassified Tumors,2014
26,41956389,Male,Unclassified Tumors,2014
114,41936220,Male,Unclassified Tumors,2015
21,41936220,Male,Unclassified Tumors,2015
148,41945689,Male,Unclassified Tumors,2016
22,41945689,Male,Unclassified Tumors,2016
120,41924375,Male,Unclassified Tumors,2017
30,41924375,Male,Unclassified Tumors,2017
31,41889233,Male,Unique astrocytoma variants,2004
37,42006384,Male,Unique astrocytoma variants,2005
26,42158997,Male,Unique astrocytoma variants,2006
19,42158997,Male,Unique astrocytoma variants,2006
31,42367071,Male,Unique astrocytoma variants,2007
23,42367071,Male,Unique astrocytoma variants,2007
40,42541971,Male,Unique astrocytoma variants,2008
19,42541971,Male,Unique astrocytoma variants,2008
42,42609915,Male,Unique astrocytoma variants,2009
24,42609915,Male,Unique astrocytoma variants,2009
30,42549101,Male,Unique astrocytoma variants,2010
16,42549101,Male,Unique astrocytoma variants,2010
43,42367731,Male,Unique astrocytoma variants,2011
28,42367731,Male,Unique astrocytoma variants,2011
40,42177631,Male,Unique astrocytoma variants,2012
25,42177631,Male,Unique astrocytoma variants,2012
38,42037054,Male,Unique astrocytoma variants,2013
26,42037054,Male,Unique astrocytoma variants,2013
43,41956389,Male,Unique astrocytoma variants,2014
26,41956389,Male,Unique astrocytoma variants,2014
26,41936220,Male,Unique astrocytoma variants,2015
26,41936220,Male,Unique astrocytoma variants,2015
31,41945689,Male,Unique astrocytoma variants,2016
26,41945689,Male,Unique astrocytoma variants,2016
27,41924375,Male,Unique astrocytoma variants,2017
17,41924375,Male,Unique astrocytoma variants,2017
18,110320645,Female,All other,2005
23,111567226,Female,All other,2006
19,112783993,Female,All other,2007
18,115293599,Female,All other,2009
20,116616265,Female,All other,2010
20,116616265,Female,All other,2010
21,117908205,Female,All other,2011
20,119171985,Female,All other,2012
22,120333643,Female,All other,2013
22,121537081,Female,All other,2014
20,122685213,Female,All other,2015
27,122685213,Female,All other,2015
30,123817960,Female,All other,2016
26,123817960,Female,All other,2016
28,124879836,Female,All other,2017
30,124879836,Female,All other,2017
566,109112165,Female,Anaplastic astrocytoma,2004
514,110320645,Female,Anaplastic astrocytoma,2005
511,111567226,Female,Anaplastic astrocytoma,2006
529,112783993,Female,Anaplastic astrocytoma,2007
503,114027722,Female,Anaplastic astrocytoma,2008
501,115293599,Female,Anaplastic astrocytoma,2009
572,116616265,Female,Anaplastic astrocytoma,2010
571,117908205,Female,Anaplastic astrocytoma,2011
586,119171985,Female,Anaplastic astrocytoma,2012
639,120333643,Female,Anaplastic astrocytoma,2013
612,121537081,Female,Anaplastic astrocytoma,2014
699,122685213,Female,Anaplastic astrocytoma,2015
637,123817960,Female,Anaplastic astrocytoma,2016
660,124879836,Female,Anaplastic astrocytoma,2017
183,109112165,Female,Anaplastic oligodendroglioma,2004
166,110320645,Female,Anaplastic oligodendroglioma,2005
137,111567226,Female,Anaplastic oligodendroglioma,2006
158,112783993,Female,Anaplastic oligodendroglioma,2007
170,114027722,Female,Anaplastic oligodendroglioma,2008
145,115293599,Female,Anaplastic oligodendroglioma,2009
134,116616265,Female,Anaplastic oligodendroglioma,2010
153,117908205,Female,Anaplastic oligodendroglioma,2011
169,119171985,Female,Anaplastic oligodendroglioma,2012
153,120333643,Female,Anaplastic oligodendroglioma,2013
151,121537081,Female,Anaplastic oligodendroglioma,2014
164,122685213,Female,Anaplastic oligodendroglioma,2015
168,123817960,Female,Anaplastic oligodendroglioma,2016
179,124879836,Female,Anaplastic oligodendroglioma,2017
570,109112165,Female,"Astrocytoma, NOS",2004
564,110320645,Female,"Astrocytoma, NOS",2005
539,111567226,Female,"Astrocytoma, NOS",2006
534,112783993,Female,"Astrocytoma, NOS",2007
494,114027722,Female,"Astrocytoma, NOS",2008
480,115293599,Female,"Astrocytoma, NOS",2009
477,116616265,Female,"Astrocytoma, NOS",2010
461,117908205,Female,"Astrocytoma, NOS",2011
492,119171985,Female,"Astrocytoma, NOS",2012
447,120333643,Female,"Astrocytoma, NOS",2013
487,121537081,Female,"Astrocytoma, NOS",2014
515,122685213,Female,"Astrocytoma, NOS",2015
565,123817960,Female,"Astrocytoma, NOS",2016
496,124879836,Female,"Astrocytoma, NOS",2017
39,109112165,Female,Choroid plexus,2004
38,110320645,Female,Choroid plexus,2005
42,111567226,Female,Choroid plexus,2006
55,112783993,Female,Choroid plexus,2007
49,114027722,Female,Choroid plexus,2008
45,115293599,Female,Choroid plexus,2009
50,116616265,Female,Choroid plexus,2010
52,117908205,Female,Choroid plexus,2011
40,119171985,Female,Choroid plexus,2012
48,120333643,Female,Choroid plexus,2013
47,121537081,Female,Choroid plexus,2014
46,122685213,Female,Choroid plexus,2015
41,123817960,Female,Choroid plexus,2016
38,124879836,Female,Choroid plexus,2017
204,109112165,Female,Craniopharyngioma,2004
185,110320645,Female,Craniopharyngioma,2005
201,111567226,Female,Craniopharyngioma,2006
220,112783993,Female,Craniopharyngioma,2007
225,114027722,Female,Craniopharyngioma,2008
230,115293599,Female,Craniopharyngioma,2009
238,116616265,Female,Craniopharyngioma,2010
221,117908205,Female,Craniopharyngioma,2011
224,119171985,Female,Craniopharyngioma,2012
244,120333643,Female,Craniopharyngioma,2013
223,121537081,Female,Craniopharyngioma,2014
235,122685213,Female,Craniopharyngioma,2015
215,123817960,Female,Craniopharyngioma,2016
231,124879836,Female,Craniopharyngioma,2017
113,109112165,Female,Diffuse astrocytoma,2004
130,110320645,Female,Diffuse astrocytoma,2005
94,111567226,Female,Diffuse astrocytoma,2006
133,112783993,Female,Diffuse astrocytoma,2007
130,114027722,Female,Diffuse astrocytoma,2008
161,115293599,Female,Diffuse astrocytoma,2009
162,116616265,Female,Diffuse astrocytoma,2010
114,117908205,Female,Diffuse astrocytoma,2011
94,119171985,Female,Diffuse astrocytoma,2012
71,120333643,Female,Diffuse astrocytoma,2013
63,121537081,Female,Diffuse astrocytoma,2014
35,122685213,Female,Diffuse astrocytoma,2015
69,109112165,Female,Embryonal/primitive/medulloblastoma,2004
85,110320645,Female,Embryonal/primitive/medulloblastoma,2005
74,111567226,Female,Embryonal/primitive/medulloblastoma,2006
92,112783993,Female,Embryonal/primitive/medulloblastoma,2007
89,114027722,Female,Embryonal/primitive/medulloblastoma,2008
104,115293599,Female,Embryonal/primitive/medulloblastoma,2009
73,116616265,Female,Embryonal/primitive/medulloblastoma,2010
69,117908205,Female,Embryonal/primitive/medulloblastoma,2011
81,119171985,Female,Embryonal/primitive/medulloblastoma,2012
88,120333643,Female,Embryonal/primitive/medulloblastoma,2013
73,121537081,Female,Embryonal/primitive/medulloblastoma,2014
68,122685213,Female,Embryonal/primitive/medulloblastoma,2015
63,123817960,Female,Embryonal/primitive/medulloblastoma,2016
63,124879836,Female,Embryonal/primitive/medulloblastoma,2017
105,109112165,Female,Ependymoma variants,2004
120,110320645,Female,Ependymoma variants,2005
149,111567226,Female,Ependymoma variants,2006
114,112783993,Female,Ependymoma variants,2007
110,114027722,Female,Ependymoma variants,2008
113,115293599,Female,Ependymoma variants,2009
122,116616265,Female,Ependymoma variants,2010
118,117908205,Female,Ependymoma variants,2011
130,119171985,Female,Ependymoma variants,2012
118,120333643,Female,Ependymoma variants,2013
131,121537081,Female,Ependymoma variants,2014
133,122685213,Female,Ependymoma variants,2015
122,123817960,Female,Ependymoma variants,2016
111,124879836,Female,Ependymoma variants,2017
293,109112165,Female,Ependymoma/anaplastic ependymoma,2004
302,110320645,Female,Ependymoma/anaplastic ependymoma,2005
294,111567226,Female,Ependymoma/anaplastic ependymoma,2006
295,112783993,Female,Ependymoma/anaplastic ependymoma,2007
313,114027722,Female,Ependymoma/anaplastic ependymoma,2008
345,115293599,Female,Ependymoma/anaplastic ependymoma,2009
296,116616265,Female,Ependymoma/anaplastic ependymoma,2010
297,117908205,Female,Ependymoma/anaplastic ependymoma,2011
303,119171985,Female,Ependymoma/anaplastic ependymoma,2012
275,120333643,Female,Ependymoma/anaplastic ependymoma,2013
243,121537081,Female,Ependymoma/anaplastic ependymoma,2014
274,122685213,Female,Ependymoma/anaplastic ependymoma,2015
268,123817960,Female,Ependymoma/anaplastic ependymoma,2016
275,124879836,Female,Ependymoma/anaplastic ependymoma,2017
17,109112165,Female,Germ Cell Tumors,2004
36,110320645,Female,Germ Cell Tumors,2005
36,111567226,Female,Germ Cell Tumors,2006
36,112783993,Female,Germ Cell Tumors,2007
33,114027722,Female,Germ Cell Tumors,2008
43,115293599,Female,Germ Cell Tumors,2009
32,116616265,Female,Germ Cell Tumors,2010
37,117908205,Female,Germ Cell Tumors,2011
32,119171985,Female,Germ Cell Tumors,2012
25,120333643,Female,Germ Cell Tumors,2013
32,121537081,Female,Germ Cell Tumors,2014
32,122685213,Female,Germ Cell Tumors,2015
29,123817960,Female,Germ Cell Tumors,2016
21,124879836,Female,Germ Cell Tumors,2017
4095,109112165,Female,Glioblastoma,2004
4161,110320645,Female,Glioblastoma,2005
4293,111567226,Female,Glioblastoma,2006
4371,112783993,Female,Glioblastoma,2007
4404,114027722,Female,Glioblastoma,2008
4481,115293599,Female,Glioblastoma,2009
4616,116616265,Female,Glioblastoma,2010
4587,117908205,Female,Glioblastoma,2011
4865,119171985,Female,Glioblastoma,2012
4915,120333643,Female,Glioblastoma,2013
4790,121537081,Female,Glioblastoma,2014
5119,122685213,Female,Glioblastoma,2015
5193,123817960,Female,Glioblastoma,2016
5145,124879836,Female,Glioblastoma,2017
423,109112165,Female,"Glioma malignant, NOS",2004
392,110320645,Female,"Glioma malignant, NOS",2005
398,111567226,Female,"Glioma malignant, NOS",2006
413,112783993,Female,"Glioma malignant, NOS",2007
445,114027722,Female,"Glioma malignant, NOS",2008
512,115293599,Female,"Glioma malignant, NOS",2009
411,116616265,Female,"Glioma malignant, NOS",2010
450,117908205,Female,"Glioma malignant, NOS",2011
17,119171985,Female,"Glioma malignant, NOS",2012
437,119171985,Female,"Glioma malignant, NOS",2012
18,120333643,Female,"Glioma malignant, NOS",2013
457,120333643,Female,"Glioma malignant, NOS",2013
25,121537081,Female,"Glioma malignant, NOS",2014
444,121537081,Female,"Glioma malignant, NOS",2014
27,122685213,Female,"Glioma malignant, NOS",2015
514,122685213,Female,"Glioma malignant, NOS",2015
19,123817960,Female,"Glioma malignant, NOS",2016
520,123817960,Female,"Glioma malignant, NOS",2016
28,124879836,Female,"Glioma malignant, NOS",2017
518,124879836,Female,"Glioma malignant, NOS",2017
206,109112165,Female,Hemangioblastoma,2004
230,110320645,Female,Hemangioblastoma,2005
222,111567226,Female,Hemangioblastoma,2006
217,112783993,Female,Hemangioblastoma,2007
239,114027722,Female,Hemangioblastoma,2008
237,115293599,Female,Hemangioblastoma,2009
225,116616265,Female,Hemangioblastoma,2010
246,117908205,Female,Hemangioblastoma,2011
257,119171985,Female,Hemangioblastoma,2012
235,120333643,Female,Hemangioblastoma,2013
217,121537081,Female,Hemangioblastoma,2014
243,122685213,Female,Hemangioblastoma,2015
261,123817960,Female,Hemangioblastoma,2016
211,124879836,Female,Hemangioblastoma,2017
235,109112165,Female,Hemangioma,2004
286,110320645,Female,Hemangioma,2005
319,111567226,Female,Hemangioma,2006
368,112783993,Female,Hemangioma,2007
469,114027722,Female,Hemangioma,2008
526,115293599,Female,Hemangioma,2009
655,116616265,Female,Hemangioma,2010
715,117908205,Female,Hemangioma,2011
715,119171985,Female,Hemangioma,2012
723,120333643,Female,Hemangioma,2013
648,121537081,Female,Hemangioma,2014
566,122685213,Female,Hemangioma,2015
526,123817960,Female,Hemangioma,2016
474,124879836,Female,Hemangioma,2017
24,109112165,Female,Local Extensions from Regional Tumors,2004
22,110320645,Female,Local Extensions from Regional Tumors,2005
18,111567226,Female,Local Extensions from Regional Tumors,2006
25,112783993,Female,Local Extensions from Regional Tumors,2007
22,114027722,Female,Local Extensions from Regional Tumors,2008
24,115293599,Female,Local Extensions from Regional Tumors,2009
24,116616265,Female,Local Extensions from Regional Tumors,2010
20,117908205,Female,Local Extensions from Regional Tumors,2011
20,119171985,Female,Local Extensions from Regional Tumors,2012
26,121537081,Female,Local Extensions from Regional Tumors,2014
19,122685213,Female,Local Extensions from Regional Tumors,2015
16,123817960,Female,Local Extensions from Regional Tumors,2016
591,109112165,Female,Lymphomas and Hematopoietic Neoplasms,2004
662,110320645,Female,Lymphomas and Hematopoietic Neoplasms,2005
674,111567226,Female,Lymphomas and Hematopoietic Neoplasms,2006
640,112783993,Female,Lymphomas and Hematopoietic Neoplasms,2007
701,114027722,Female,Lymphomas and Hematopoietic Neoplasms,2008
665,115293599,Female,Lymphomas and Hematopoietic Neoplasms,2009
749,116616265,Female,Lymphomas and Hematopoietic Neoplasms,2010
718,117908205,Female,Lymphomas and Hematopoietic Neoplasms,2011
705,119171985,Female,Lymphomas and Hematopoietic Neoplasms,2012
741,120333643,Female,Lymphomas and Hematopoietic Neoplasms,2013
816,121537081,Female,Lymphomas and Hematopoietic Neoplasms,2014
757,122685213,Female,Lymphomas and Hematopoietic Neoplasms,2015
831,123817960,Female,Lymphomas and Hematopoietic Neoplasms,2016
828,124879836,Female,Lymphomas and Hematopoietic Neoplasms,2017
14154,109112165,Female,Meningioma,2004
272,109112165,Female,Meningioma,2004
16224,110320645,Female,Meningioma,2005
280,110320645,Female,Meningioma,2005
17268,111567226,Female,Meningioma,2006
252,111567226,Female,Meningioma,2006
18179,112783993,Female,Meningioma,2007
270,112783993,Female,Meningioma,2007
19444,114027722,Female,Meningioma,2008
217,114027722,Female,Meningioma,2008
21050,115293599,Female,Meningioma,2009
200,115293599,Female,Meningioma,2009
20634,116616265,Female,Meningioma,2010
206,116616265,Female,Meningioma,2010
21018,117908205,Female,Meningioma,2011
186,117908205,Female,Meningioma,2011
21787,119171985,Female,Meningioma,2012
202,119171985,Female,Meningioma,2012
22189,120333643,Female,Meningioma,2013
223,120333643,Female,Meningioma,2013
22992,121537081,Female,Meningioma,2014
218,121537081,Female,Meningioma,2014
23841,122685213,Female,Meningioma,2015
196,122685213,Female,Meningioma,2015
24189,123817960,Female,Meningioma,2016
164,123817960,Female,Meningioma,2016
24124,124879836,Female,Meningioma,2017
173,124879836,Female,Meningioma,2017
197,109112165,Female,Mixed glioma,2004
236,110320645,Female,Mixed glioma,2005
273,111567226,Female,Mixed glioma,2006
